delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,middlegamma,attention,mark
344064,59067,12251,27325,52711,16454,11151,1769,67,1
96778,21779,1458,1804,8485,1734,606,249,43,0
72738,19853,301,8236,9788,11121,2798,1092,64,1
596680,77209,21231,4403,4366,4996,1264,1043,57,1
559052,39232,27739,34356,19164,12471,11162,4304,64,1
240692,19128,4659,14214,13173,2283,1683,2524,56,1
800340,197823,70135,55711,43834,8877,8398,7589,30,0
2460120,249653,34824,60045,47337,21558,8051,2821,35,0
499766,132375,37006,36060,16811,22234,5581,1345,34,0
542040,59745,5925,18477,7919,7911,5408,2372,38,0
924068,66961,13277,23116,22705,22777,18307,4556,67,1
797098,100236,47638,30365,58780,16562,15540,6157,67,1
1167286,218348,30152,47679,15530,22504,19117,3044,64,1
1420254,112265,35425,18201,48316,21786,25577,12068,61,1
442167,67993,31674,16844,41958,18292,17480,8815,61,1
108335,11749,12396,7738,8792,9673,3057,1613,69,1
234466,98399,23329,15920,18709,24063,8486,3542,74,1
1281036,123351,13350,10615,25353,13509,5961,2185,74,1
247882,192576,183047,40765,39342,40115,48351,12441,67,1
835507,174842,13879,50765,68077,24206,9870,2309,57,1
284398,323857,16494,9421,12609,11869,15100,12948,43,0
167146,44556,35746,7522,26454,8538,2972,3862,43,0
163270,19260,5589,20136,19860,15632,7149,4108,56,1
1797116,124055,104529,36882,62219,53237,27776,4816,63,1
71731,8073,11333,8714,2240,1735,934,522,67,1
803135,110719,3982,28980,14540,8371,2090,2058,63,1
90591,71281,44693,23061,5980,6505,10867,1978,34,0
68164,57741,22370,15891,25545,10323,2790,3988,40,0
177569,315353,5297,48283,46008,8841,9291,3290,29,0
1844909,310033,45368,17718,15843,13329,12646,6398,24,0
404841,68668,33562,21554,26195,20665,6261,5178,37,0
180518,149557,11275,13124,44499,18001,2940,2393,37,0
70661,51367,12026,2588,3040,1971,718,376,38,0
1289185,39198,14654,16380,15786,4515,2898,1799,43,0
76620,30082,7477,20116,4072,1796,615,168,26,0
216699,84600,30942,8124,4210,11450,6864,3164,24,0
1599164,217139,15889,49636,25633,18493,7661,2115,34,0
372040,54102,15967,18342,43520,8969,4433,5261,38,0
29563,15973,23297,2214,5553,1425,643,342,37,0
60425,25042,6597,10811,7779,6380,2799,1657,41,0
91949,98042,32533,37352,16402,18387,7799,5423,44,0
314254,64045,22892,15822,12087,17118,6305,2794,70,1
474887,147938,14190,14447,13014,34552,8346,1747,75,1
229777,44289,64077,5637,15837,32129,2320,3814,84,1
2246108,438721,36267,151855,132129,37710,13782,2316,74,1
1405131,113359,62176,36920,27285,18843,10068,4071,66,1
1450519,33818,21804,27736,23368,23886,3824,1709,69,1
44898,150245,25390,19859,14234,8695,5365,6753,44,0
61617,35392,4082,6421,4381,4742,712,286,35,0
215562,80697,3345,26524,28184,17165,5872,1988,44,0
531855,264810,59019,63778,43738,9963,5198,4684,40,0
1266063,322206,150661,22671,68276,23219,10620,4686,37,0
787802,58380,15037,28503,5893,27209,12529,3249,61,1
856033,101609,44408,13975,35721,32780,9963,6308,67,1
1072026,298167,29715,46306,38002,38976,45481,4637,66,1
134667,48288,9130,8982,11124,12988,10248,1860,63,1
1959922,83306,25302,21339,11202,19442,13096,7835,70,1
597815,48372,3991,12519,11312,8524,1649,2045,70,1
642963,14527,5473,5732,2814,3879,2002,641,67,1
2216606,309886,16000,55431,166483,92608,23524,5474,77,1
1603094,818294,43593,248410,99682,84752,41354,12838,77,1
2394765,179423,21126,69696,31629,117054,33996,3727,84,1
691170,491944,69176,54619,48982,45143,32513,30078,78,1
306517,72412,15845,9161,11364,13544,8741,1073,78,1
493914,223396,16576,52230,56415,18603,5446,949,64,1
878163,21622,11604,2565,4674,10598,1518,2374,61,1
733355,61150,28399,29415,63336,47168,21855,10033,78,1
1851931,309025,69201,17982,73599,30083,21582,7226,70,1
831214,205373,99507,23592,14573,26292,6628,1759,70,1
733768,112450,31360,15438,21600,20001,12176,14744,63,1
1920658,297166,178767,46120,86035,95335,36554,21553,56,1
458689,31376,9380,16397,7922,5282,5289,1919,57,1
902161,104880,42218,51697,54053,21368,12653,5869,56,1
3153170,1246912,22101,65110,70710,73073,23984,19491,40,0
73316,14989,10421,5205,7662,6143,8648,2149,60,1
223918,36238,2788,11357,8647,2454,4067,543,60,1
683847,196878,25976,16122,17730,4860,5212,625,41,0
1478354,117137,12501,123275,59073,19991,5167,1632,35,0
112400,10950,8530,6943,12633,3618,736,605,34,0
62523,5267,7080,5223,2487,2099,408,195,41,0
63019,48552,9276,7287,11784,5835,1150,414,56,1
193316,117199,9870,50343,24692,15514,9045,1814,57,1
161207,25405,18437,26688,28300,19981,1518,490,64,1
317504,6934,15054,9501,6476,2226,744,546,57,1
243532,20569,2845,9322,2722,3450,870,1138,60,1
50259,34941,74169,12124,42507,10281,3618,1671,60,1
49800,21162,7481,10785,22045,14745,2276,2510,64,1
650248,22909,24412,9525,5382,4268,1525,1082,63,1
242002,35733,11699,10177,4593,6804,1997,737,67,1
1816356,177014,41594,20235,27989,17848,4759,5931,63,1
302641,202896,51348,49046,6836,16790,3478,2447,44,0
241565,185030,26927,73666,19533,10075,4060,2430,41,0
757607,129524,8330,20266,21076,8599,5727,578,35,0
454870,133047,9066,46018,22195,7027,3217,2381,26,0
179739,19164,3833,7406,5389,2313,926,905,26,0
